id,FirstName,Money,LastName
920,Christina,597.57,Gordon
921,Andrea,466.87,Roberts
922,Michael,95.43,Lopez
923,Joyce,586.62,Rose
924,Thomas,184.72,Scott
925,Roy,147.49,Castillo
926,Joe,571.02,Reyes
927,Aaron,604.20,Hamilton
928,Ralph,466.98,Green
929,Craig,572.21,Perez
930,Phillip,461.84,Peterson
931,Martha,693.40,Medina
932,Ann,91.69,Medina
933,Carol,476.53,Fuller
934,Karen,970.50,Lee
935,Alan,675.30,Stewart
936,Harry,670.30,Johnson
937,Patrick,783.49,Reid
938,Steven,355.88,Elliott
939,Linda,152.61,Rodriguez
940,Jimmy,850.45,Holmes
941,Sara,987.36,Pierce
942,Shawn,234.97,Jordan
943,Jason,243.61,Brooks
944,Louis,70.48,Kim
945,Walter,604.72,Green
946,Jane,849.76,Greene
947,Debra,69.54,Cruz
948,Lisa,765.48,Williamson
949,Ruby,47.10,Hill
950,Mildred,580.73,Powell
951,Marie,936.36,Phillips
952,Steven,244.49,Hunter
953,Raymond,156.55,Lee
954,Thomas,102.03,Sims
955,Pamela,631.06,Porter
956,Andrea,912.91,Mcdonald
957,Martin,128.39,Weaver
958,Kenneth,528.90,Woods
959,Victor,679.64,Pierce
960,Billy,714.41,Jones
961,Margaret,689.16,Bennett
962,Barbara,814.31,Duncan
963,Samuel,352.52,Weaver
964,Edward,284.29,Flores
965,Carl,545.62,Schmidt
966,Rachel,271.51,Warren
967,Janet,783.66,Mccoy
968,Jacqueline,6.27,Allen
969,Betty,574.41,Wells
970,Joshua,374.71,Gray
971,Sharon,650.52,Morris
972,Rachel,926.70,Young
973,Juan,122.23,Cruz
974,Justin,320.34,Wheeler
975,Jeremy,912.95,Day
976,Philip,380.85,Perry
977,Kathy,915.54,Perez
978,Carolyn,303.82,Palmer
979,Deborah,781.04,Lawson
980,Peter,289.75,Mendoza
981,Joan,429.59,Evans
982,Craig,311.11,Garza
983,Kathryn,838.52,Cooper
984,Dennis,863.36,Fields
985,Steve,513.10,Flores
986,Barbara,597.31,Myers
987,Jennifer,228.47,Ross
988,Gregory,503.76,Graham
989,Julia,597.24,Young
990,Cheryl,158.88,Mendoza
991,Charles,450.92,Boyd
992,Phillip,920.26,Ford
993,Debra,656.69,Arnold
994,Lois,48.42,Morales
995,Johnny,626.41,Carroll
996,Benjamin,511.26,Mason
997,Ryan,148.39,Alvarez
998,Jesse,366.96,Nguyen
999,Johnny,194.47,Cruz
1000,Matthew,712.02,Alexander
